OBJECTID,RID,GENERIC_CASE_ID,GENERIC_OFFENDER_ID,CHARGE_NUMBER,SENTENCE_YEAR,RACE,GENDER,AGE_GROUP,OFFENSE,OFFENSE_TYPE,HOMICIDE_TYPE,OFFENSE_SEVERITY_GROUP,SENTENCE_TYPE,SENTENCE_IMPOSED_MONTHS,SENTENCE_SUSPENDED_MONTHS,SENTENCE_TO_SERVE_MONTHS,SENTENCE_PROBATION_MONTHS,VVCA_AMT,FINE_AMT,RESTITUTION_AMT,FINE_SUSPENDED_AMT
1,1,3574668,3485785,1,2018,Black,M,15-17,1ST DEG MURDER W/ARMED,Homicide,Murder I,M1,Indeterminate/Incarceration,,,,,100,0,0,0
2,2,3806508,7427096,9,2018,Black,M,15-17,Conspiracy,Other,,M9,Indeterminate,,,,,0,0,0,0
3,3,3806508,7427096,12,2018,Black,M,15-17,Murder I,Homicide,Murder I,M1,Life,,,,,0,0,0,0
4,4,3806508,7427096,13,2018,Black,M,15-17,1ST DEG MURDER W/ARMED,Homicide,Murder I,M1,Life,,,,,0,0,0,0
5,5,3806508,7427096,15,2018,Black,M,15-17,Poss Firearm During Crime of Violence or Dangerous Offense,Weapon,,M5,Indeterminate,,,,,0,0,0,0
6,6,3806508,7427096,16,2018,Black,M,15-17,Carrying a Pistol Without a License,Weapon,,M8,Short Split,12,12,1,60,0,0,0,0
7,7,7806164,1021121,2,2018,Other or Unknown,M,22-30,UCSA PWID COCAINE,Drug,,D2,Indeterminate,,,,,0,0,0,0
8,8,9015717,5317747,4,2018,Other or Unknown,M,15-17,ASLT W/I KILL WHILE ARMED,Violent,,M3,Probation,180,180,0,36,0,0,0,0
9,9,4792566,7849479,6,2018,Black,M,15-17,1ST DEG MURDER W/ARMED,Homicide,Murder I,M1,Life,,,,,100,0,0,0
10,10,4792566,7849479,7,2018,Black,M,15-17,POS. F/A DURING VIO/DAG OFF,Weapon,,M5,Indeterminate,,,,,100,0,0,0
11,11,4792566,7849479,8,2018,Black,M,15-17,Carrying a Pistol Without a License,Weapon,,M8,Short Split,20,20,1,60,100,0,0,0
12,12,7167194,5317747,5,2018,Other or Unknown,M,15-17,POS. F/A DURING VIO/DAG OFF,Weapon,,M5,Indeterminate,,,,,0,0,0,0
13,13,7167194,5317747,7,2018,Other or Unknown,M,15-17,VOLUNTARY MAN. WHILE ARMED,Homicide,Voluntary Manslaughter,M3,Indeterminate/Incarceration,,,,,0,0,0,0
14,14,5967414,2482848,10,2018,Black,M,15-17,2ND DEG MURDER W/ARMED,Homicide,Murder II,M2,Indeterminate/Incarceration,,,,,0,0,0,0
15,15,5967414,2482848,11,2018,Black,M,15-17,2ND DEG MURDER W/ARMED,Homicide,Murder II,M2,Indeterminate/Incarceration,,,,,0,0,0,0
16,16,8567971,8258401,4,2018,Black,M,22-30,POS. F/A DURING VIO/DAG OFF,Weapon,,M5,Incarceration,1,0,1,0,100,,,0
17,17,8567971,8258401,7,2018,Black,M,22-30,POS. F/A DURING VIO/DAG OFF,Weapon,,M5,Incarceration,1,0,1,0,100,,,0
18,18,8567971,8258401,10,2018,Black,M,22-30,POS. F/A DURING VIO/DAG OFF,Weapon,,M5,Incarceration,1,0,1,0,100,,,0
19,19,8567971,8258401,11,2018,Black,M,22-30,CARRY PISTOL W/O LIC-OUTSIDE H0ME/BUSINESS,Weapon,,M8,Incarceration,1,0,1,0,100,,,0
20,20,8567971,8258401,12,2018,Black,M,22-30,ADW GUN,Violent,,M6,Incarceration,1,0,1,0,100,,,0
21,21,8567971,8258401,13,2018,Black,M,22-30,ADW GUN,Violent,,M6,Incarceration,1,0,1,0,100,,,0
